# HIGGS + TOP BRANCHING RATIOS IN SLHA FORMAT
# Info about decay package
BLOCK DCINFO   # Program information
     1   NMSSMTools # Decay package
     2   4.1.2      # Version number
#           PDG          Width
DECAY        25     3.51190270E-03   # Lightest neutral Higgs scalar
     6.61916983E-05    2     2000015  -1000015   # BR(A_1 -> ~tau_2 ~taubar_1)
DECAY        46     2.52800212E+01   # 2nd pseudoscalar
     1.08262998E-03    2          21        21   # BR(A_2 -> gluon gluon)
     5.18464218E-07    2          13       -13   # BR(A_2 -> muon muon)
     1.46645880E-04    2          15       -15   # BR(A_2 -> tau tau)
     7.67832998E-07    2           3        -3   # BR(A_2 -> s sbar)
     1.78144770E-04    2           4        -4   # BR(A_2 -> c cbar)
     1.10311424E-03    2           5        -5   # BR(A_2 -> b bbar)
     8.70591122E-01    2           6        -6   # BR(A_2 -> t tbar)
     8.00414132E-06    2          22        22   # BR(A_2 -> gamma gamma)
     5.00071876E-06    2          23        22   # BR(A_2 -> Z gamma)
     4.07903062E-02    2          36        25   # BR(A_2 -> A_1 H_1)
     3.27453057E-05    2          23        25   # BR(A_2 -> Z H_1)
     4.71154748E-04    2     1000022   1000022   # BR(A_2 -> neu_1 neu_1)
     2.89262393E-03    2     1000022   1000023   # BR(A_2 -> neu_1 neu_2)
     1.52271575E-04    2     1000022   1000025   # BR(A_2 -> neu_1 neu_3)
     9.20291859E-03    2     1000022   1000035   # BR(A_2 -> neu_1 neu_4)
     4.45019335E-03    2     1000023   1000023   # BR(A_2 -> neu_2 neu_2)
     9.33071101E-05    2     1000023   1000025   # BR(A_2 -> neu_2 neu_3)
     1.81079104E-02    2     1000023   1000035   # BR(A_2 -> neu_2 neu_4)
     1.01271227E-02    2     1000024  -1000024   # BR(A_2 -> cha_1 cha_1bar)
     2.02669610E-02    2     1000024  -1000037   # BR(A_2 -> cha_1 cha_2bar)
     2.02669610E-02    2     1000037  -1000024   # BR(A_2 -> cha_2 cha_1bar)
     1.47877663E-05    2     1000015  -2000015   # BR(A_2 -> ~tau_1 ~taubar_2)
     1.47877663E-05    2     2000015  -1000015   # BR(A_2 -> ~tau_2 ~taubar_1)
DECAY        37     2.58123235E+01   # Charged Higgs
     5.61092963E-07    2         -13        14   # BR(H+ -> muon nu_muon)
     1.58703234E-04    2         -15        16   # BR(H+ -> tau nu_tau)
     6.12665729E-08    2           2        -3   # BR(H+ -> u sbar)
     1.00029837E-05    2           4        -3   # BR(H+ -> c sbar)
     1.62289378E-08    2           2        -5   # BR(H+ -> u bbar)
     1.63660603E-06    2           4        -5   # BR(H+ -> c bbar)
     8.88181021E-01    2           6        -5   # BR(H+ -> t bbar)
     3.39315529E-05    2          24        25   # BR(H+ -> W+ H_1)
     4.14273158E-02    2          24        36   # BR(H+ -> W+ A_1)
     3.11727402E-03    2     1000024   1000022   # BR(H+ -> cha_1 neu_1)
     1.22524240E-05    2     1000024   1000023   # BR(H+ -> cha_1 neu_2)
     2.04235192E-02    2     1000024   1000025   # BR(H+ -> cha_1 neu_3)
     1.75728524E-02    2     1000024   1000035   # BR(H+ -> cha_1 neu_4)
     7.07711912E-03    2     1000037   1000022   # BR(H+ -> cha_2 neu_1)
     1.96483883E-02    2     1000037   1000023   # BR(H+ -> cha_2 neu_2)
     7.66213823E-04    2     1000012  -1000011   # BR(H+ -> ~nu_e_L ~ebar_L)
     7.66213823E-04    2     1000014  -1000013   # BR(H+ -> ~nu_mu_L ~mubar_L)
     2.82402475E-05    2     1000016  -1000015   # BR(H+ -> ~nu_tau_L ~taubar_1)
     7.74677197E-04    2     1000016  -2000015   # BR(H+ -> ~nu_tau_L ~taubar_2)
DECAY         6     1.33482521E+00   # Top Quark
     1.00000000E+00    2           5        24   # BR(t ->  b    W+)
