# HIGGS + TOP BRANCHING RATIOS IN SLHA FORMAT
# Info about decay package
BLOCK DCINFO   # Program information
     1   NMSSMTools # Decay package
     2   4.1.2      # Version number
#           PDG          Width
DECAY        25     3.84584919E-02   # Lightest neutral Higgs scalar
     1.16500000E-01    2         -11        12   # BR(W+ -> e+ nu_e)
     1.16500000E-01    2         -13        14   # BR(W+ -> mu+ nu_mu)
     1.12000000E-01    2         -15        16   # BR(W+ -> tau+ nu_tau)
     3.65000000E-01    2           2        -1   # BR(W+ -> u db)
     3.10000000E-01    2           4        -3   # BR(W+ -> c sb)
#         PDG            Width
DECAY        23     2.49520000E+00   # Z (measured)
     2.00000000E-01    2         -12        12   # BR(Z -> invisible)
     3.36500000E-02    2         -11        11   # BR(Z -> e+ e-)
     3.36500000E-02    2         -13        13   # BR(Z -> mu+ mu-)
     3.37000000E-02    2         -15        15   # BR(Z -> tau+ tau-)
     1.11000000E-01    2           2        -2   # BR(Z -> u ub)
     1.58500000E-01    2           1        -1   # BR(Z -> d db)
     1.58500000E-01    2           3        -3   # BR(Z -> s sb)
     1.20000000E-01    2           4        -4   # BR(Z -> c cb)
     1.51000000E-01    2           5        -5   # BR(Z -> b bb)
#         PDG            Width
DECAY   1000024     2.70161907E-02   # chargino1
#                    chargino1 2-body decays
#          BR         NDA      ID1       ID2
     7.64638155E-04    2     1000012       -11   # BR(~chi_1+ -> ~nu_eL   e+  )
     7.64638155E-04    2     1000014       -13   # BR(~chi_1+ -> ~nu_muL  mu+ )
     8.36277556E-02    2    -1000015        16   # BR(~chi_1+ -> ~tau_1+  nu_tau)
     8.74606920E-01    2     1000022        24   # BR(~chi_1+ -> ~chi_10  W+)
     4.02360478E-02    2     1000023        24   # BR(~chi_1+ -> ~chi_20  W+)
#         PDG            Width
DECAY   1000037     7.34692846E+00   # chargino2
#                    chargino2 2-body decays
#          BR         NDA      ID1       ID2
     8.19685586E-03    2     1000012       -11   # BR(~chi_2+ -> ~nu_eL   e+  )
     8.19685586E-03    2     1000014       -13   # BR(~chi_2+ -> ~nu_muL  mu+ )
     8.44324403E-03    2     1000016       -15   # BR(~chi_2+ -> ~nu_tau1 tau+)
     1.46961553E-02    2    -1000011        12   # BR(~chi_2+ -> ~e_L+    nu_e)
     1.46961553E-02    2    -1000013        14   # BR(~chi_2+ -> ~mu_L+   nu_mu)
     5.69989346E-03    2    -1000015        16   # BR(~chi_2+ -> ~tau_1+  nu_tau)
     9.11072071E-03    2    -2000015        16   # BR(~chi_2+ -> ~tau_2+  nu_tau)
     2.16291990E-01    2     1000024        23   # BR(~chi_2+ -> ~chi_1+  Z )
     1.60222552E-01    2     1000022        24   # BR(~chi_2+ -> ~chi_10  W+)
     1.15837886E-01    2     1000023        24   # BR(~chi_2+ -> ~chi_20  W+)
     2.48093533E-01    2     1000025        24   # BR(~chi_2+ -> ~chi_30  W+)
     1.43143838E-01    2     1000024        25   # BR(~chi_2+ -> ~chi_1+  H_1 )
     4.23377338E-02    2     1000024        35   # BR(~chi_2+ -> ~chi_1+  H_2 )
     5.03258611E-03    2     1000024        36   # BR(~chi_2+ -> ~chi_1+  A_1 )
#         PDG            Width
DECAY   1000022     0.00000000E+00   # neutralino1
#         PDG            Width
DECAY   1000023     4.04374476E-09   # neutralino2
     4.10048759E-04    2     1000022        22   # BR(~chi_20 -> ~chi_10 gam)
#                    neutralino2 3-body decays
#           BR         NDA      ID1       ID2       ID3
     8.44208933E-03    3     1000022        -2         2   # BR(~chi_20 -> ~chi_10 ub      u)
     1.24784568E-02    3     1000022        -1         1   # BR(~chi_20 -> ~chi_10 db      d)
     8.44208933E-03    3     1000022        -4         4   # BR(~chi_20 -> ~chi_10 cb      c)
     1.24784568E-02    3     1000022        -3         3   # BR(~chi_20 -> ~chi_10 sb      s)
     1.50772967E-03    3     1000022        -5         5   # BR(~chi_20 -> ~chi_10 bb      b)
     3.24857388E-01    3     1000022       -11        11   # BR(~chi_20 -> ~chi_10 e+      e-)
     3.24857388E-01    3     1000022       -13        13   # BR(~chi_20 -> ~chi_10 mu+     mu-)
     2.73486149E-01    3     1000022       -15        15   # BR(~chi_20 -> ~chi_10 tau+    tau-)
     1.10134016E-02    3     1000022       -12        12   # BR(~chi_20 -> ~chi_10 nu_eb   nu_e)
     1.10134016E-02    3     1000022       -14        14   # BR(~chi_20 -> ~chi_10 nu_mub  nu_mu)
     1.10134016E-02    3     1000022       -16        16   # BR(~chi_20 -> ~chi_10 nu_taub nu_tau)
#         PDG            Width
DECAY   1000025     6.06177284E-03   # neutralino3
#                    neutralino3 2-body decays
#          BR         NDA      ID1       ID2
     6.28688152E-02    2     1000022        23   # BR(~chi_30 -> ~chi_10   Z )
     8.35507274E-02    2     1000023        23   # BR(~chi_30 -> ~chi_20   Z )
     3.44187092E-03    2     1000022        36   # BR(~chi_30 -> ~chi_10   A_1 )
     3.93945942E-05    2     1000023        36   # BR(~chi_30 -> ~chi_20   A_1 )
     3.06025777E-01    2     1000015       -15   # BR(~chi_30 -> ~tau_1-   tau+)
     3.06025777E-01    2    -1000015        15   # BR(~chi_30 -> ~tau_1+   tau-)
     3.73889762E-02    2     1000012       -12   # BR(~chi_30 -> ~nu_eL    nu_eb)
     3.73889762E-02    2    -1000012        12   # BR(~chi_30 -> ~nu_eL*   nu_e )
     3.73889762E-02    2     1000014       -14   # BR(~chi_30 -> ~nu_muL   nu_mub)
     3.73889762E-02    2    -1000014        14   # BR(~chi_30 -> ~nu_muL*  nu_mu )
     3.73889762E-02    2     1000016       -16   # BR(~chi_30 -> ~nu_tau1  nu_taub)
     3.73889762E-02    2    -1000016        16   # BR(~chi_30 -> ~nu_tau1* nu_tau )
#                    neutralino3 3-body decays
#           BR         NDA      ID1       ID2       ID3
     1.73702214E-08    3     1000022        -2         2   # BR(~chi_30 -> ~chi_10 ub      u)
     1.05981229E-06    3     1000022        -1         1   # BR(~chi_30 -> ~chi_10 db      d)
     1.73702214E-08    3     1000022        -4         4   # BR(~chi_30 -> ~chi_10 cb      c)
     1.05981229E-06    3     1000022        -3         3   # BR(~chi_30 -> ~chi_10 sb      s)
     1.56201744E-05    3     1000022        -5         5   # BR(~chi_30 -> ~chi_10 bb      b)
     1.63550522E-03    3     1000022       -11        11   # BR(~chi_30 -> ~chi_10 e+      e-)
     1.63550522E-03    3     1000022       -13        13   # BR(~chi_30 -> ~chi_10 mu+     mu-)
     1.32148114E-03    3     1000022       -15        15   # BR(~chi_30 -> ~chi_10 tau+    tau-)
     3.70501407E-07    3     1000023        -2         2   # BR(~chi_30 -> ~chi_20 ub      u)
     1.75992395E-07    3     1000023        -1         1   # BR(~chi_30 -> ~chi_20 db      d)
     3.70501407E-07    3     1000023        -4         4   # BR(~chi_30 -> ~chi_20 cb      c)
     1.75992395E-07    3     1000023        -3         3   # BR(~chi_30 -> ~chi_20 sb      s)
     4.71051437E-07    3     1000023        -5         5   # BR(~chi_30 -> ~chi_20 bb      b)
     3.77662853E-03    3     1000023       -11        11   # BR(~chi_30 -> ~chi_20 e+      e-)
     3.77662853E-03    3     1000023       -13        13   # BR(~chi_30 -> ~chi_20 mu+     mu-)
     1.54862579E-03    3     1000023       -15        15   # BR(~chi_30 -> ~chi_20 tau+    tau-)
     8.50410093E-09    3     1000024        -2         1   # BR(~chi_30 -> ~chi_1+ ub      d)
     8.50410093E-09    3    -1000024        -1         2   # BR(~chi_30 -> ~chi_1- db      u)
     8.50410093E-09    3     1000024        -4         3   # BR(~chi_30 -> ~chi_1+ cb      s)
     8.50410093E-09    3    -1000024        -3         4   # BR(~chi_30 -> ~chi_1- sb      c)
     8.18534702E-09    3     1000024       -12        11   # BR(~chi_30 -> ~chi_1+ nu_eb   e-)
     8.18534702E-09    3    -1000024        12       -11   # BR(~chi_30 -> ~chi_1- nu_e    e+)
     8.18534702E-09    3     1000024       -14        13   # BR(~chi_30 -> ~chi_1+ nu_mub  mu-)
     8.18534702E-09    3    -1000024        14       -13   # BR(~chi_30 -> ~chi_1- nu_mu   mu+)
     1.10304891E-11    3     1000024       -16        15   # BR(~chi_30 -> ~chi_1+ nu_taub tau-)
     1.10304891E-11    3    -1000024        16       -15   # BR(~chi_30 -> ~chi_1- nu_tau  tau+)
#         PDG            Width
DECAY   1000035     7.20572380E+00   # neutralino4
#                    neutralino4 2-body decays
#          BR         NDA      ID1       ID2
     1.35254977E-01    2     1000022        23   # BR(~chi_40 -> ~chi_10   Z )
     8.57174178E-04    2     1000023        23   # BR(~chi_40 -> ~chi_20   Z )
     1.83039884E-01    2     1000025        23   # BR(~chi_40 -> ~chi_30   Z )
     2.30998251E-01    2     1000024       -24   # BR(~chi_40 -> ~chi_1+   W-)
     2.30998251E-01    2    -1000024        24   # BR(~chi_40 -> ~chi_1-   W+)
     6.81438603E-02    2     1000022        25   # BR(~chi_40 -> ~chi_10   H_1 )
     8.39430116E-03    2     1000022        35   # BR(~chi_40 -> ~chi_10   H_2 )
     1.61175188E-02    2     1000022        36   # BR(~chi_40 -> ~chi_10   A_1 )
     7.94495789E-02    2     1000023        25   # BR(~chi_40 -> ~chi_20   H_1 )
     1.23280014E-02    2     1000023        35   # BR(~chi_40 -> ~chi_20   H_2 )
     1.97678817E-02    2     1000023        36   # BR(~chi_40 -> ~chi_20   A_1 )
     7.17097625E-03    2     1000025        25   # BR(~chi_40 -> ~chi_30   H_1 )
     1.49947451E-03    2     1000025        35   # BR(~chi_40 -> ~chi_30   H_2 )
     3.35420330E-03    2     1000025        36   # BR(~chi_40 -> ~chi_30   A_1 )
     5.23360262E-05    2     1000011       -11   # BR(~chi_40 -> ~e_L-     e+)
     5.23360262E-05    2    -1000011        11   # BR(~chi_40 -> ~e_L+     e-)
     6.20946202E-05    2     2000011       -11   # BR(~chi_40 -> ~e_R-     e+)
     6.20946202E-05    2    -2000011        11   # BR(~chi_40 -> ~e_R+     e-)
     5.23360262E-05    2     1000013       -13   # BR(~chi_40 -> ~mu_L-    mu+)
     5.23360262E-05    2    -1000013        13   # BR(~chi_40 -> ~mu_L+    mu-)
     6.20946202E-05    2     2000013       -13   # BR(~chi_40 -> ~mu_R-    mu+)
     6.20946202E-05    2    -2000013        13   # BR(~chi_40 -> ~mu_R+    mu-)
     1.91875051E-05    2     1000015       -15   # BR(~chi_40 -> ~tau_1-   tau+)
     1.91875051E-05    2    -1000015        15   # BR(~chi_40 -> ~tau_1+   tau-)
     3.61056870E-04    2     2000015       -15   # BR(~chi_40 -> ~tau_2-   tau+)
     3.61056870E-04    2    -2000015        15   # BR(~chi_40 -> ~tau_2+   tau-)
     2.34575898E-04    2     1000012       -12   # BR(~chi_40 -> ~nu_eL    nu_eb)
     2.34575898E-04    2    -1000012        12   # BR(~chi_40 -> ~nu_eL*   nu_e )
     2.34575898E-04    2     1000014       -14   # BR(~chi_40 -> ~nu_muL   nu_mub)
     2.34575898E-04    2    -1000014        14   # BR(~chi_40 -> ~nu_muL*  nu_mu )
     2.34575898E-04    2     1000016       -16   # BR(~chi_40 -> ~nu_tau1  nu_taub)
     2.34575898E-04    2    -1000016        16   # BR(~chi_40 -> ~nu_tau1* nu_tau )
#         PDG            Width
DECAY   1000045     7.14672778E+00   # neutralino5
#                    neutralino5 2-body decays
#          BR         NDA      ID1       ID2
     9.95129149E-02    2     1000022        23   # BR(~chi_50 -> ~chi_10   Z )
     1.19825414E-01    2     1000023        23   # BR(~chi_50 -> ~chi_20   Z )
     1.36493350E-02    2     1000025        23   # BR(~chi_50 -> ~chi_30   Z )
     2.13144997E-01    2     1000024       -24   # BR(~chi_50 -> ~chi_1+   W-)
     2.13144997E-01    2    -1000024        24   # BR(~chi_50 -> ~chi_1-   W+)
     9.17242356E-02    2     1000022        25   # BR(~chi_50 -> ~chi_10   H_1 )
     2.39197403E-02    2     1000022        35   # BR(~chi_50 -> ~chi_10   H_2 )
