   mDM     x      nu            b             tau           c             q             t             Z             W
   30.     0.41   0.030257      0.0365335     0.520278      0.0100901     0             0             0             0
   30.     0.42   0.0297864     0.0325852     0.510461      0.00878844    0             0             0             0
   30.     0.43   0.0293433     0.0289934     0.500558      0.00763805    0             0             0             0
   30.     0.44   0.0289032     0.0257274     0.490676      0.00661976    0             0             0             0
   30.     0.45   0.0284597     0.022764      0.480824      0.00572123    0             0             0             0
   30.     0.46   0.028028      0.0200803     0.471015      0.0049289     0             0             0             0
   30.     0.47   0.0276105     0.0176581     0.461251      0.00423424    0             0             0             0
   30.     0.48   0.0272058     0.015478      0.45153       0.00362458    0             0             0             0
   30.     0.49   0.0268344     0.0135283     0.441852      0.00309678    0             0             0             0
   30.     0.5    0.0264705     0.0117809     0.432217      0.00263421    0             0             0             0
   30.     0.51   0.0261303     0.0102379     0.422695      0.00223993    0             0             0             0
   30.     0.52   0.0257989     0.00885826    0.413125      0.00189494    0             0             0             0
   30.     0.53   0.0254746     0.00763735    0.403456      0.00159865    0             0             0             0
   30.     0.54   0.0251571     0.00655611    0.393764      0.00134299    0             0             0             0
   30.     0.55   0.0248467     0.00559872    0.384109      0.00112139    0             0             0             0
   30.     0.56   0.0245694     0.00476668    0.374486      0.000935566   0             0             0             0
   30.     0.57   0.0242969     0.00403312    0.364915      0.000774551   0             0             0             0
   30.     0.58   0.0240386     0.00340102    0.355398      0.000639837   0             0             0             0
   30.     0.59   0.0237959     0.00285598    0.345933      0.00052685    0             0             0             0
   30.     0.6    0.0235572     0.0023808     0.33652       0.000429996   0             0             0             0
   30.     0.61   0.0233427     0.00198322    0.32716       0.00035176    0             0             0             0
   30.     0.62   0.0231385     0.00164029    0.31785       0.000285587   0             0             0             0
   30.     0.63   0.0229375     0.00134408    0.308588      0.000229318   0             0             0             0
   30.     0.64   0.022752      0.00110227    0.299428      0.000185067   0             0             0             0
   30.     0.65   0.0225705     0.000893967   0.290267      0.000147465   0             0             0             0
   30.     0.66   0.0223919     0.000716196   0.281102      0.00011583    0             0             0             0
   30.     0.67   0.022242      0.000575545   0.271883      0             0             0             0             0
   30.     0.68   0.0220963     0.000455789   0.262709      0             0             0             0             0
   30.     0.69   0.0219527     0.00035521    0.253586      0             0             0             0             0
   30.     0.7    0.0218333     0.000279664   0.244504      0             0             0             0             0
   30.     0.71   0.0217206     0.000217046   0.235478      0             0             0             0             0
   30.     0.72   0.0216095     0.000164784   0.22651       0             0             0             0             0
   30.     0.73   0.0215135     0.00012577    0.217598      0             0             0             0             0
   30.     0.74   0.0214296     0             0.208743      0             0             0             0             0
   30.     0.75   0.0213469     0             0.199943      0             0             0             0             0
   30.     0.76   0.0212696     0             0.191198      0             0             0             0             0
   30.     0.77   0.0212199     0             0.182505      0             0             0             0             0
   30.     0.78   0.0211709     0             0.173869      0             0             0             0             0
   30.     0.79   0.0211224     0             0.165289      0             0             0             0             0
   30.     0.8    0.0210965     0             0.156775      0             0             0             0             0
   30.     0.81   0.0210876     0             0.148314      0             0             0             0             0
   30.     0.82   0.0210787     0             0.139895      0             0             0             0             0
   30.     0.83   0.02107       0             0.13152       0             0             0             0             0
   30.     0.84   0.0210873     0             0.123151      0             0             0             0             0
   30.     0.85   0.02111       0             0.114843      0             0             0             0             0
   30.     0.86   0.0211324     0             0.106604      0             0             0             0             0
   30.     0.87   0.0211545     0             0.0984349     0             0             0             0             0
   30.     0.88   0.0211902     0             0.0903057     0             0             0             0             0
   30.     0.89   0.021227      0             0.0822582     0             0             0             0             0
   30.     0.9    0.0212634     0             0.0742943     0             0             0             0             0
   30.     0.91   0.0212994     0             0.0664124     0             0             0             0             0
   30.     0.92   0.021348      0             0.0585255     0             0             0             0             0
   30.     0.93   0.0213993     0             0.050752      0             0             0             0             0
   30.     0.94   0.0214501     0             0.043116      0             0             0             0             0
   30.     0.95   0.0215003     0             0.0356141     0             0             0             0             0
   30.     0.96   0.0517467     0             0.028243      0             0             0             0             0
   30.     0.97   0.111631      0             0.0209992     0             0             0             0             0
   30.     0.98   0.170902      0             0.0138798     0             0             0             0             0
   30.     0.99   0.229571      0             0.00688174    0             0             0             0             0
   30.     1.     0.28765       0             0             0             0             0             0             0
   50.     0.01   0.118114      1.42575       0.951092      0.471969      0.0251919     0             0             0
   50.     0.02   0.115884      1.34107       0.910209      0.455664      0.0191653     0             0             0
   50.     0.03   0.114449      1.23861       0.879799      0.422886      0.0145571     0             0             0
   50.     0.04   0.112852      1.13305       0.859024      0.391952      0.0110485     0             0             0
   50.     0.05   0.110857      1.03187       0.842589      0.36388       0.00836921    0             0             0
   50.     0.06   0.108557      0.937727      0.828344      0.338071      0.00633534    0             0             0
   50.     0.07   0.106254      0.851479      0.815356      0.314016      0.00480209    0             0             0
   50.     0.08   0.103762      0.772941      0.803173      0.291335      0.00365061    0             0             0
   50.     0.09   0.101394      0.700848      0.792342      0.269307      0.00278272    0             0             0
   50.     0.1    0.0989407     0.635828      0.781876      0.248533      0.00213409    0             0             0
   50.     0.11   0.0965427     0.576429      0.772174      0.228471      0.00164502    0             0             0
   50.     0.12   0.0942423     0.523004      0.762792      0.209647      0.00127787    0             0             0
   50.     0.13   0.0919951     0.474588      0.753809      0.191835      0.000999704   0             0             0
   50.     0.14   0.0897489     0.430615      0.745232      0.17498       0.000787228   0             0             0
   50.     0.15   0.0876963     0.390989      0.736815      0.159307      0.000624318   0             0             0
   50.     0.16   0.0856        0.355161      0.728583      0.14473       0.000498255   0             0             0
   50.     0.17   0.0836529     0.322434      0.720558      0.13104       0.000399235   0             0             0
